ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,version,user_agent,request_body_len,response_body_len,status_code,status_msg,tags,resp_fuids,resp_mime_types,orig_fuids,orig_mime_types,referrer,resp_filenames,podejrzany_user_agent,podejrzany_uri
1425567249.922346,CZR0a3WlEl00hkvVe,192.168.0.51,50703,192.168.0.1,80,1,GET,192.168.0.1,/wan_on.jpg,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1441,200.0,OK,[],['Fg3pe53HohDbr9VX0f'],['image/jpeg'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567249.922662,Cf4Gtq1fzZr63fvtQ8,192.168.0.51,50704,192.168.0.1,80,1,GET,192.168.0.1,/sig0.gif,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,96,200.0,OK,[],['FNZnhi2dwd4lijnSa8'],['image/gif'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567249.922949,CxFgbZAJYK5Dh59D7,192.168.0.51,50705,192.168.0.1,80,1,GET,192.168.0.1,/sig1.gif,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,56,200.0,OK,[],['FEwcYh3a5ynorXOuV4'],['image/gif'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567249.936659,CLhjkO10WEkOyFYAW8,192.168.0.51,50706,192.168.0.1,80,1,GET,192.168.0.1,/sig2.gif,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,58,200.0,OK,[],['FFUAnWGsWy2mKznq'],['image/gif'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567249.954543,CmvFTx19CwOe6Fnnp6,192.168.0.51,50707,192.168.0.1,80,1,GET,192.168.0.1,/sig3.gif,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,61,200.0,OK,[],['F6JuwgsDv81UMvXT4'],['image/gif'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567250.008076,CfgPLo1COWI7VujyW9,192.168.0.51,50709,192.168.0.1,80,1,GET,192.168.0.1,/sig4.gif,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,61,200.0,OK,[],['FB3woU2ZSQJSo74NE8'],['image/gif'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567249.922026,CucPMc2oOpKDZvl7af,192.168.0.51,50702,192.168.0.1,80,1,GET,192.168.0.1,/wan_off.jpg,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,994,200.0,OK,[],['FSwPQj2ase7NKqvvYi'],['image/jpeg'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567250.004187,C60VOc1rgdwbTEddBe,192.168.0.51,50708,192.168.0.1,80,1,GET,192.168.0.1,/sysmsg.xml?ZT=1425567249987,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,142,200.0,OK,[],['F7zGzx1imGgDGGhaZj'],['application/xml'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567250.014677,CclvBk1SF6OpPmEXVb,192.168.0.51,50710,192.168.0.1,80,1,GET,192.168.0.1,/sig5.gif,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,61,200.0,OK,[],['Fa5ncj4qHQlaa6DqPe'],['image/gif'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567250.02036,CyvSiq1pNJXdV29Ikg,192.168.0.51,50711,192.168.0.1,80,1,GET,192.168.0.1,/modelbg.gif,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,624,200.0,OK,[],['FUKIuR3FwFJT7wpckb'],['image/gif'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567253.069517,CwvKei4sf0KveyYqSj,192.168.0.51,50712,192.168.0.1,80,1,GET,192.168.0.1,/sysmsg.xml?ZT=1425567253086,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,142,200.0,OK,[],['FRD1A32RIZiJ9u1uaj'],['application/xml'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
