ts,fuid,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,source,depth,analyzers,duration,local_orig,is_orig,seen_bytes,missing_bytes,overflow_bytes,timedout,total_bytes,mime_type,filename,podejrzany_typ
1428911447.64789,FzrhCk1rW1t8jzikK8,CBnf9f1K245XfkwTe5,192.168.0.51,37328,93.184.220.29,80,HTTP,0,['OCSP_REPLY'],0.0,False,False,471,0,0,False,471.0,application/ocsp-response,,Nie
1428911687.649478,FqbIAo4iA2aOABbwaf,Cd4dpv2cvI6OoDgM8e,192.168.0.51,37330,93.184.220.29,80,HTTP,0,[],0.0,True,True,83,0,0,False,83.0,application/ocsp-request,,Nie
1428911687.695474,FYgA5G2gUVzloQcKzf,Cd4dpv2cvI6OoDgM8e,192.168.0.51,37330,93.184.220.29,80,HTTP,0,['OCSP_REPLY'],0.0,False,False,471,0,0,False,471.0,application/ocsp-response,,Nie
1428911689.141269,Fzia001CTVoCZuVQJj,ChgCeo4hPXHgn648El,192.168.0.51,59641,63.245.217.43,443,SSL,0,['OCSP_REPLY'],0.0,False,False,471,0,0,False,,application/ocsp-response,,Nie
1428912659.756261,FJ2qCq4lTb7VTGICBi,CMVGC83Jn9NUVBxb1i,192.168.0.51,45480,216.58.209.132,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428912659.858369,FOoZS5448aX2MHwfef,CMVGC83Jn9NUVBxb1i,192.168.0.51,45480,216.58.209.132,80,HTTP,0,[],1.1920928955000001e-05,False,False,2040,0,0,False,2040.0,image/jpeg,,Nie
1428913455.48626,FEz3fH2InSYiQvL7W2,C92ni01FrDJXgL54yd,192.168.0.54,53005,198.199.14.15,80,HTTP,0,[],0.19887208938598602,False,False,27150,0,0,False,,,,Nie
1428914400.23402,FeEzMU3rP0aam6EZY4,CL0mbT6JDBKUHQYw2,192.168.0.51,45486,216.58.209.132,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428914400.579507,FCnKSn4BRUDjr1ph5k,CL0mbT6JDBKUHQYw2,192.168.0.51,45486,216.58.209.132,80,HTTP,0,[],0.000225782394409,False,False,2820,0,0,False,2820.0,image/jpeg,,Nie
1428914405.695973,FOjb2f1jh6PwzZTJv9,CIrKfM24Wqz7yTI5gb,192.168.0.54,53033,198.199.14.136,80,HTTP,0,[],0.0,False,False,93,0,0,False,93.0,,,Nie
1428914762.142354,FFqerd1qPXHnU0zSu1,CljbyA1Hu9R5pxnpQa,192.168.0.53,3624,201.212.232.226,80,HTTP,0,[],0.0,False,False,151,0,0,False,,text/html,,Nie
1428914809.73766,FNELxV1zCFH4cC0Ta,CpTG7S3doxItE7ZJea,192.168.0.54,53039,198.199.14.136,80,HTTP,0,[],0.005141973495483,False,False,14114,0,0,False,,,,Nie
1428915021.396003,FucfAeHRql20Mf6Q2,CF4Qxe4MxAmMKADErb,192.168.0.54,53048,157.56.114.104,80,HTTP,0,[],0.0,False,False,9,0,0,False,9.0,,,Nie
1428916140.958757,F3uBdi4EQCHkSP6ngb,C35JeZ3dJprGm7h3E9,192.168.0.51,45492,216.58.209.132,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428916141.248586,F3uBdi4EQCHkSP6ngb,C35JeZ3dJprGm7h3E9,192.168.0.51,45492,216.58.209.132,80,HTTP,0,[],0.0,False,False,0,1388,0,True,,,,Nie
1428917236.122655,FfWdZGy4xrqwOFS6g,CTyrZh3Rax56QYJQR5,192.168.0.54,53098,198.199.14.15,80,HTTP,0,[],0.19235515594482402,False,False,27150,0,0,False,,,,Nie
1428917330.401119,FgFZ6413QLctgLBYab,C53Y9M1wQeWX73Ee23,192.168.0.54,53102,213.155.151.181,80,HTTP,0,[],0.0,False,False,1495,0,0,False,1495.0,application/chrome-ext,,Nie
1428917486.6207,FLE3LRLtCWAiav5Sa,Cqaban1kY16Y3mAVSi,192.168.0.54,53115,68.232.34.200,443,SSL,0,['OCSP_REPLY'],0.0,False,False,1757,0,0,False,,application/ocsp-response,,Nie
